"Amatitlan","Amatitlan"
"Amatitlan","Amatitlan"
"Amatitlan","Amatitlan"
"Antigua","Antigua"
"Antigua Guatemala","Antigua Guatemala"
"Antigua Guatemala","Antigua Guatemala"
"Atitlan","Atitlan"
"Barcenas","Barcenas"
"Chamelco","Chamelco"
"Chiquimula","Chiquimula"
"Coban","Coban"
"Coban","Coban"
"Cobán","Cobán"
"Comitancillo","Comitancillo"
"Concepción Huista","Concepción Huista"
"Concepción las minas","Concepción las minas"
"Cotz","Cotz"
"El Progreso","El Progreso"
"Escuintla","Escuintla"
"Esquipulas","Esquipulas"
"Esquipulas","Esquipulas"
"Guastatoya","Guastatoya"
"Guastatoya","Guastatoya"
"Guatemala","Guatemala"
"Ixcan","Ixcan"
"Ixcan","Ixcan"
"Jocotan","Jocotan"
"Jocotan","Jocotan"
"Joyabaj","Joyabaj"
"Joyabaj","Joyabaj"
"Jutiapa","Jutiapa"
"La Esperanza","La Esperanza"
"Lala guna","Lala guna"
"Malacatan","Malacatan"
"Mataquescuintla","Mataquescuintla"
"Mazate","Mazate"
"Melchor de mencos","Melchor de mencos"
"Mixco","Mixco"
"Mixco","Mixco"
"Nebaj","Nebaj"
"Nebaj","Nebaj"
"Nuevo San Carlos","Nuevo San Carlos"
"Oratorio","Oratorio"
"Oratorio","Oratorio"
"Panajachel","Panajachel"
"Poptun","Poptun"
"Puerto Barrios","Puerto Barrios"
"Puerto Barrios","Puerto Barrios"
"Quetzaltenango","Quetzaltenango"
"San Antonio Suchitepéquez","San Antonio Suchitepéquez"
"San Antonio aguas","San Antonio aguas"
"San Benito","San Benito"
"San Benito","San Benito"
"San Jorge","San Jorge"
"San José el iDolo","San José el iDolo"
"San Juan ixcoy","San Juan ixcoy"
"San Juanixcoy","San Juanixcoy"
"San Luis","San Luis"
"San Mateo","San Mateo"
"San Pedro Sacatepéquez","San Pedro Sacatepéquez"
"San Pedro necta","San Pedro necta"
"San Sebastián Coatan","San Sebastián Coatan"
"Sanarate","Sanarate"
"Santa Elena","Santa Elena"
"Santa Eulalia","Santa Eulalia"
"Santa Lucia Cotzumalguapa","Santa Lucia Cotzumalguapa"
"Santiago atitlan","Santiago atitlan"
"Siquinala","Siquinala"
"Vela","Vela"
"Villa nueva","Villa nueva"
"acatenango","acatenango"
"achamperico","achamperico"
"amates","amates"
"amates","amates"
"amatitlan","amatitlan"
"amatitlan","amatitlan"
"amatitlan","amatitlan"
"antigua","antigua"
"antigua","antigua"
"antigua","antigua"
"barberena","barberena"
"barillas","barillas"
"barrios","barrios"
"boca el monte","boca el monte"
"calientes","calientes"
"camotan","camotan"
"cantinil","cantinil"
"capital","capital"
"carretera a El Salvador","carretera a El Salvador"
"casilla","casilla"
"champerico","champerico"
"chiantl","chiantl"
"chichicastenango","chichicastenango"
"chichicastenango","chichicastenango"
"chiquimula","chiquimula"
"chisec","chisec"
"ciudad quetzal","ciudad quetzal"
"ciudad vieja","ciudad vieja"
"coatepeque","coatepeque"
"coatepeque","coatepeque"
"coatepeque","coatepeque"
"coatepeque","coatepeque"
"coatepeque","coatepeque"
"coban","coban"
"coban","coban"
"coban","coban"
"concepcion las minas","concepcion las minas"
"concepción huista","concepción huista"
"consepcion las minas","consepcion las minas"
"cuilapa","cuilapa"
"cuilapa","cuilapa"
"cuyo","cuyo"
"cuyotenango","cuyotenango"
"cuyotenango","cuyotenango"
"cuyotenango","cuyotenango"
"cuyutenago","cuyutenago"
"efrain lemus","efrain lemus"
"el estor","el estor"
"el estor","el estor"
"el tumbador","el tumbador"
"elestor","elestor"
"escuintla","escuintla"
"escuintla","escuintla"
"esquipulas","esquipulas"
"esquipulas","esquipulas"
"esquipulas","esquipulas"
"fraijanes","fraijanes"
"frontera México","frontera México"
"gomera","gomera"
"gomera","gomera"
"gualan","gualan"
"gualan","gualan"
"guastatoya","guastatoya"
"ixcan","ixcan"
"ixcan","ixcan"
"ixcan","ixcan"
"jacaltenango","jacaltenango"
"jocotan","jocotan"
"jocotan","jocotan"
"jocotan","jocotan"
"jocotenango","jocotenango"
"joyabaj","joyabaj"
"jutiapa","jutiapa"
"jutiapa","jutiapa"
"la blanca","la blanca"
"la democrasis","la democrasis"
"la esperanza","la esperanza"
"la gomera","la gomera"
"la unión","la unión"
"las Cruces","las Cruces"
"las cruces","las cruces"
"livingston","livingston"
"livingston","livingston"
"livingston","livingston"
"livingston","livingston"
"livingston","livingston"
"livingstoon","livingstoon"
"los amates","los amates"
"malacatan","malacatan"
"malacatan","malacatan"
"malacatan","malacatan"
"mazatenango","mazatenango"
"mazatenango","mazatenango"
"mazatenango","mazatenango"
"mazatenango","mazatenango"
"mazatenango","mazatenango"
"melchor de mencos","melchor de mencos"
"melchor de mencos","melchor de mencos"
"mixco","mixco"
"momostengo","momostengo"
"morales","morales"
"moyuta","moyuta"
"nebaj","nebaj"
"nebaj","nebaj"
"nueba santa rosa","nueba santa rosa"
"nueva concepción","nueva concepción"
"nueva concepción","nueva concepción"
"nueva santa rosa","nueva santa rosa"
"nuevo progreso","nuevo progreso"
"olopa","olopa"
"olopa","olopa"
"pachalum","pachalum"
"pachalum","pachalum"
"palestina de los altos","palestina de los altos"
"palin","palin"
"palin","palin"
"palin","palin"
"palin","palin"
"panajachel","panajachel"
"panajachel","panajachel"
"panajachel","panajachel"
"panajachel","panajachel"
"parramos","parramos"
"playas de tulate","playas de tulate"
"poptun","poptun"
"poptun","poptun"
"poptun","poptun"
"poptun","poptun"
"pro barrios","pro barrios"
"pto barrios","pto barrios"
"pto barrios","pto barrios"
"pto iztapa","pto iztapa"
"puerto Barrios","puerto Barrios"
"puerto Barrios","puerto Barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto barrios","puerto barrios"
"puerto de Iztapa","puerto de Iztapa"
"puerto de iztapa","puerto de iztapa"
"puerto.iztapa","puerto.iztapa"
"quetzaltenango","quetzaltenango"
"quetzaltengo","quetzaltengo"
"rabinal","rabinal"
"raxruha","raxruha"
"rio dulce","rio dulce"
"río dulce","río dulce"
"salama","salama"
"salama","salama"
"salama","salama"
"salcaja","salcaja"
"salmaa","salmaa"
"san Benito","san Benito"
"san Cristobal","san Cristobal"
"san Diego","san Diego"
"san Gaspar ixchil","san Gaspar ixchil"
"san Martín","san Martín"
"san Martín jilotepeques","san Martín jilotepeques"
"san Miguel petapa","san Miguel petapa"
"san andres","san andres"
"san andres","san andres"
"san andres itzapa","san andres itzapa"
"san cristobal","san cristobal"
"san jose Pinilla","san jose Pinilla"
"san jose pinula","san jose pinula"
"san jose poaquil","san jose poaquil"
"san juan ixcoy","san juan ixcoy"
"san juan la laguna","san juan la laguna"
"san lucas","san lucas"
"san luis","san luis"
"san marcos la laguna","san marcos la laguna"
"san martin jilotepeque","san martin jilotepeque"
"san miguel Ixtahuacan","san miguel Ixtahuacan"
"san pedro necta","san pedro necta"
"san pedro pinula","san pedro pinula"
"san pedro soloma","san pedro soloma"
"sanjuan baustista","sanjuan baustista"
"sanjuan ixcoy","sanjuan ixcoy"
"sanmiguel","sanmiguel"
"santa Cruz Barillas","santa Cruz Barillas"
"santa Lucía coztumalguapa","santa Lucía coztumalguapa"
"santa cruz","santa cruz"
"santa elena","santa elena"
"santa elens","santa elens"
"santa lucia cotzumalguapa","santa lucia cotzumalguapa"
"santa lucía cotzmalguspa","santa lucía cotzmalguspa"
"santo tomas de Castilla","santo tomas de Castilla"
"santo tomas de castilla","santo tomas de castilla"
"santo tomas la unión ","santo tomas la unión "
"sanyuyo","sanyuyo"
"sipacate","sipacate"
"suchitepequez","suchitepequez"
"suchitepequez","suchitepequez"
"sumpango","sumpango"
"sumpango","sumpango"
"tactic","tactic"
"taxisco","taxisco"
"tecpan","tecpan"
"teculutan","teculutan"
"tecun uman","tecun uman"
"tejutla","tejutla"
"totonicapan","totonicapan"
"union","union"
"union cantinil","union cantinil"
"union cantinil","union cantinil"
"villa nueva","villa nueva"
"villa nueva","villa nueva"
"villa nueva","villa nueva"
"villanueva","villanueva"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"xela","xela"
"zaragoza","zaragoza"
"zunil","zunil"
